Barcelona,"Barcelona, Spain (BCN)",BCN,41.2969444,2.07833333,Europe/Madrid
Bari,"Bari Palese, Italy (BRI)",BRI,41.1380556,16.765,Europe/Rome
Barrow,"Barrow Wiley Post/Will Roger Mem'l, AK (BRW)",BRW,71.2855556,-156.76611,America/Anchorage
Bathurst,"Bathurst, NB",ZBF,47.6297222,-65.738889,America/Halifax
Baton Rouge,"Baton Rouge Ryan, LA (BTR)",BTR,30.5330556,-91.149722,America/Chicago
Bearskin Lake,"Bearskin Lake, ON",XBE,53.9666667,-91.05,America/Rainy_River
Beaver,"Beaver, AK (WBQ)",WBQ,66.3519444,-147.38583,America/Anchorage
Beijing,"Beijing Capital, China (PEK)",PEK,40.08,116.584444,Asia/Shanghai
Beirut,"Beirut Rafic Hariri International, Lebanon (BEY)",BEY,33.8208333,35.4883333,Asia/Beirut
Belem,"Belem Val de Cans, Brazil (BEL)",BEL,-1.3791667,-48.476389,America/Belem
Belfast,"Belfast George Best City Apt, United Kingdom (BHD)",BHD,54.6180556,-5.8725,Europe/London
Belfast,"Belfast International, United Kingdom (BFS)",BFS,54.6575,-6.2158333,Europe/London
Belgrade,"Belgrade Nikola Tesla, Serbia (BEG)",BEG,44.8183333,20.3091667,Europe/Luxembourg
Bella Bella,"Bella Bella, BC",ZEL,52.1833333,-128.15,America/Vancouver
Bella Coola,"Bella Coola, BC",QBC,52.3875,-126.59583,America/Vancouver
Bellingham,"Bellingham, WA (BLI)",BLI,48.7927778,-122.5375,America/Los_Angeles
Bangalore,"Bengaluru International, India (BLR)",BLR,13.1988889,77.7055556,Asia/Kolkata
Bergen,"Bergen Flesland, Norway (BGO)",BGO,60.2933333,5.21805556,Europe/Oslo
Berlin,"Berlin Brandenburg, Germany (BER)",BER,52.3666667,13.5033333,Europe/Berlin
Berlin,"Berlin Tegel, Germany (TXL)",TXL,52.5597222,13.2877778,Europe/Berlin
Berne,"Bern Belp, Switzerland (BRN)",BRN,46.9141667,7.49722222,Europe/Zurich
Bethel,"Bethel, AK (BET)",BET,60.7797222,-161.83806,America/Anchorage
Bilbao,"Bilbao, Spain (BIO)",BIO,43.3011111,-2.9105556,Europe/Madrid
Billings,"Billings, MT (BIL)",BIL,45.8077778,-108.54278,America/Denver
Billund,"Billund, Denmark (BLL)",BLL,55.7402778,9.15166667,Europe/Copenhagen
Biloela,"Biloela, Australia (ZBL)",ZBL,-24.4,150.5,Australia/Brisbane
Birjand,"Birjand, Iran (XBJ)",XBJ,32.8980556,59.2661111,Asia/Tehran
Birmingham,"Birmingham, AL (BHM)",BHM,33.5630556,-86.753611,America/Chicago
Birmingham,"Birmingham, United Kingdom (BHX)",BHX,52.4536111,-1.7477778,Europe/London
Bloomington-Normal,"Bloomington Normal, IL (BMI)",BMI,40.4772222,-88.915833,America/Chicago
Bodrum,"Bodrum Milas, Turkey (BJV)",BJV,37.2505556,27.6644444,Europe/Istanbul
Bogota,"Bogota Eldorado, Colombia (BOG)",BOG,4.70166667,-74.146944,America/Bogota
Boise,"Boise Air Term. (Gowen Fld), ID (BOI)",BOI,43.5644444,-116.22278,America/Denver
Bologna,"Bologna Guglielmo Marconi, Italy (BLQ)",BLQ,44.5308333,11.2969444,Europe/Rome
Bordeaux,"Bordeaux Merignac, France (BOD)",BOD,44.8286111,-0.7152778,Europe/Paris
Boston,"Boston Logan International, MA (BOS)",BOS,42.3644444,-71.005278,America/New_York
Bozeman,"Bozeman Gallatin Field, MT (BZN)",BZN,45.7775,-111.15306,America/Denver
Branson,"Branson, MO (BKG)",BKG,36.5316667,-93.199722,America/Chicago
Brasilia,"Brasilia International, Brazil (BSB)",BSB,-15.871111,-47.918611,America/Sao_Paulo
Bremen,"Bremen, Germany (BRE)",BRE,53.0475,8.78666667,Europe/Berlin
Barbados,"Bridgetown Grantley Adams International, Barbados (BGI)",BGI,13.0747222,-59.4925,America/Barbados
Brisbane,"Brisbane International, Australia (BNE)",BNE,-27.384167,153.1175,Australia/Brisbane
Bristol,"Bristol, United Kingdom (BRS)",BRS,51.3825,-2.7188889,Europe/London
Brno,"Brno Turany, Czech Republic (BRQ)",BRQ,49.1513889,16.6944444,Europe/Prague
